English,Български,Deutsch,Norwegian,French
whole,цял,ganz,hel,entier
another,друг,Ein weiterer,en annen,un autre
House,Къща,Haus,Hus,loger
yourself,себе си,du selbst,deg selv,toi-même
idea,Идея,Idee,idé,idée
ask,питам,Fragen,spørre,interroger
best,най-доброто,Beste,beste,meilleur
must,трябва да,muss,må,doit
coming,идва,Kommen,kommer,à venir
old,стар,alt,gammel,vieille
looking,Търсене,schauend,Ser,en regardant
woman,жена,Frau,kvinne,femme
hello,Здравейте,Hallo,Hallo,Bonjour
which,който,welcher,hvilken,lequel
years,години,Jahre,år,années
room,стая,Zimmer,rom,pièce
money,пари,Geld,penger,de l'argent
left,наляво,links,venstre,la gauche
knew,Знаех,wusste,visste det,a connu
tonight,тази нощ,heute Abend,i kveld,ce soir
real,реален,Real,ekte,réel
son,Син,Sohn,sønn,fils
hope,надявам се,Hoffnung,håp,espérer
name,Име,Name,Navn,Nom
same,същото,gleich,samme,même
went,отиде,ging,gikk.,est allé
um,смисъл,Äh,UM.,ombre
hmm,Хм.,Hmm,Hmm.,Hmm
happy,щастлив,glücklich,lykkelig,heureux
pretty,красива,ziemlich,ganske,joli
saw,трион,sah,sag,vu
girl,момиче,Mädchen,pike,fille
sir,господ,Herr,Herr,Monsieur
show,шоу,zeigen,forestilling,spectacle
friend,приятел,Freundin,venn,amie
already,Вече,schon,allerede,déjà
saying,казвам,Sprichwort,ordtak,en disant
may,може,können,kan,peut
next,следващия,nächste,NESTE,Suivant
three,три,drei,tre,Trois
job,работа,Job,jobb,travail
problem,Проблем,Problem,problem,problème
minute,Минута.,Minute,minutt,minute
found,намерен,gefunden,funnet,trouvé
world,свят,Welt,verden,monde
thinking,мислене,Denken,tenker,pensée
haven't,не съм,Hat nicht,har ikke det,ne pas avoir
heard,чудовище,gehört,hørt det,entendu
honey,пчелен мед,Honig,honning,mon chéri
matter,материя,Gegenstand,saken,question
myself,себе си,mich selber,meg selv,moi même
couldn't,не можеше,Könnte nicht,Kunne ikke,ne pouvait pas
exactly,точно,Exakt,nøyaktig,exactement
